goos: linux
goarch: amd64
pkg: github.com/ethereum/go-ethereum/core/vm
cpu: Intel(R) Core(TM) i5-4460  CPU @ 3.20GHz
BenchmarkPrecompiledEcrecover/-Gas=3000-4           	   16165	     73662 ns/op	      3000 gas/op	        40.72 mgas/s	     800 B/op	       7 allocs/op
BenchmarkPrecompiledEcrecover/-Gas=3000-4           	   16766	     71669 ns/op	      3000 gas/op	        41.85 mgas/s	     800 B/op	       7 allocs/op
BenchmarkPrecompiledEcrecover/-Gas=3000-4           	   16566	     71639 ns/op	      3000 gas/op	        41.87 mgas/s	     800 B/op	       7 allocs/op
BenchmarkPrecompiledEcrecover/-Gas=3000-4           	   16587	     71439 ns/op	      3000 gas/op	        41.99 mgas/s	     800 B/op	       7 allocs/op
BenchmarkPrecompiledEcrecover/-Gas=3000-4           	   16758	     71599 ns/op	      3000 gas/op	        41.89 mgas/s	     800 B/op	       7 allocs/op
BenchmarkPrecompiledEcrecover/-Gas=3000-4           	   16720	     71857 ns/op	      3000 gas/op	        41.74 mgas/s	     800 B/op	       7 allocs/op
BenchmarkPrecompiledEcrecover/-Gas=3000-4           	   16650	     71868 ns/op	      3000 gas/op	        41.74 mgas/s	     800 B/op	       7 allocs/op
BenchmarkPrecompiledEcrecover/-Gas=3000-4           	   16597	     73356 ns/op	      3000 gas/op	        40.89 mgas/s	     800 B/op	       7 allocs/op
BenchmarkPrecompiledEcrecover/-Gas=3000-4           	   16087	     73182 ns/op	      3000 gas/op	        40.99 mgas/s	     800 B/op	       7 allocs/op
BenchmarkPrecompiledEcrecover/-Gas=3000-4           	   16323	     72674 ns/op	      3000 gas/op	        41.27 mgas/s	     800 B/op	       7 allocs/op
BenchmarkPrecompiledSha256/128-Gas=108-4            	 1856302	       646.9 ns/op	       108.0 gas/op	       167.0 mgas/s	      32 B/op	       1 allocs/op
BenchmarkPrecompiledSha256/128-Gas=108-4            	 1890120	       646.5 ns/op	       108.0 gas/op	       167.0 mgas/s	      32 B/op	       1 allocs/op
BenchmarkPrecompiledSha256/128-Gas=108-4            	 1887246	       638.6 ns/op	       108.0 gas/op	       169.1 mgas/s	      32 B/op	       1 allocs/op
BenchmarkPrecompiledSha256/128-Gas=108-4            	 1830859	       649.0 ns/op	       108.0 gas/op	       166.4 mgas/s	      32 B/op	       1 allocs/op
